LabNumber,BirdID,"Date 
collected",Time..Lag,Faecal Powder Mass (g),Extraction Vol (ml),tetra,cort,preg,oxo,qual,sex,age,mass,tetra2,cort2,preg2,oxo2,tetrapc,cortpc,pregpc,oxopc
12,RWS 02,2021/06/16,-1,0.0175,0.5,0.589828571,0.470971429,0.124714286,0.153628571,poor,male,ad,143.65,0.76524617,0.665279421,0.192721377,0.231596893,77.07697142,70.79302523,64.71222208,66.33446993
22,RWS 02,2021/06/16,0,0.0117,0.5,0.597350427,0.764529915,0.205470085,0.210897436,poor,male,ad,143.65,0.76524617,0.665279421,0.192721377,0.231596893,78.05990426,114.9186177,106.6150981,91.06229062
40,RWS 02,2021/06/16,2,0.0549,1.5,2.253797814,0.935710383,0.550519126,0.674016393,ok,male,ad,143.65,0.76524617,0.665279421,0.192721377,0.231596893,294.5193199,140.6492299,285.6554541,291.0299807
23,RWS 03,2021/06/16,0,0.0495,1.5,0.338644444,0.264181818,0.078939394,0.128030303,ok,male,ad,160.59,0.76524617,0.665279421,0.192721377,0.231596893,44.25300745,39.70990379,40.96037244,55.28152874
32,RWS 03,2021/06/16,1,0.0339,1.5,2.402890855,1.324690265,0.351504425,1.096769912,poor,male,ad,160.59,0.76524617,0.665279421,0.192721377,0.231596893,314.0023369,199.1178778,182.3899505,473.5684908
41,RWS 03,2021/06/16,2,0.0383,1,1.627467363,0.835926893,0.254778068,0.579791123,ok,male,ad,160.59,0.76524617,0.665279421,0.192721377,0.231596893,212.6723958,125.650496,132.2002112,250.3449485
49,RWS 03,2021/06/16,3,0.0469,1.5,1.434946695,1.02358209,0.333166311,0.405863539,ok,male,ad,160.59,0.76524617,0.665279421,0.192721377,0.231596893,187.5143911,153.8574705,172.8746006,175.2456753
59,RWS 03,2021/06/16,4,0.0185,1.5,2.734702703,1.485,0.299837838,0.543,poor,male,ad,160.59,0.76524617,0.665279421,0.192721377,0.231596893,357.3624817,223.2144799,155.5809957,234.4591038
4,RWS 04,2021/06/17,-2,0.0536,1.5,0.402481343,0.642929104,0.092322761,0.099710821,ok,female,ad,127.04,0.76524617,0.665279421,0.192721377,0.231596893,52.59501573,96.64046171,47.90478486,43.05360903
14,RWS 04,2021/06/17,-1,0.0509,1.5,0.584675835,0.874833006,0.165972495,0.122328094,ok,female,ad,127.04,0.76524617,0.665279421,0.192721377,0.231596893,76.40362778,131.4985821,86.12043841,52.81940213
24,RWS 04,2021/06/17,0,0.0534,1.5,0.851713483,1.050702247,0.179662921,0.189101124,ok,female,ad,127.04,0.76524617,0.665279421,0.192721377,0.231596893,111.2992808,157.9339768,93.22417877,81.65097599
50,RWS 04,2021/06/17,3,0.0546,1.5,2.746730769,1.396043956,0.543296703,1.093626374,ok,female,ad,127.04,0.76524617,0.665279421,0.192721377,0.231596893,358.9342722,209.8432495,281.9078562,472.2111592
60,RWS 04,2021/06/17,4,0.0419,1.5,2.15928401,1.170178998,0.492279236,0.850381862,ok,female,ad,127.04,0.76524617,0.665279421,0.192721377,0.231596893,282.1685486,175.8928595,255.4357192,367.1818953
5,RWS 05,2021/06/17,-2,0.0414,1.5,0.111942029,0.209782609,0.074811594,0.025824275,ok,male,imm,140.26,0.76524617,0.665279421,0.192721377,0.231596893,14.62823774,31.53300733,38.81852404,11.15052755
15,RWS 05,2021/06/17,-1,0.0541,1.5,0.525665434,0.405055453,0.106691312,0.158456562,ok,male,imm,140.26,0.76524617,0.665279421,0.192721377,0.231596893,68.69233134,60.8850116,55.36039325,68.41912246
25,RWS 05,2021/06/17,0,0.0536,1.5,0.959384328,0.439589552,0.128535448,0.396380597,ok,male,imm,140.26,0.76524617,0.665279421,0.192721377,0.231596893,125.3693735,66.07592812,66.69496115,171.1510857
51,RWS 05,2021/06/17,3,0.0532,1.5,1.159031955,0.606287594,0.154511278,0.499201128,ok,male,imm,140.26,0.76524617,0.665279421,0.192721377,0.231596893,151.4587071,91.13277437,80.17339867,215.5474199
61,RWS 05,2021/06/17,4,0.0376,1.5,1.741914894,1.476582447,0.256396277,0.725465426,poor,male,imm,140.26,0.76524617,0.665279421,0.192721377,0.231596893,227.6280448,221.949214,133.0398735,313.2448867
9,RWS 09,2021/06/18,-2,0.0403,1.5,1.781315136,1.143126551,0.411029777,0.569255583,ok,female,ad,121.26,0.76524617,0.665279421,0.192721377,0.231596893,232.7767465,171.826531,213.2766911,245.7958634
19,RWS 09,2021/06/18,-1,0.0507,1.5,1.556183432,0.895502959,0.290591716,0.376627219,ok,female,ad,121.26,0.76524617,0.665279421,0.192721377,0.231596893,203.3572325,134.6055401,150.7833329,162.6218788
29,RWS 09,2021/06/18,0,0.0187,0.5,1.308823529,0.553609626,0.190026738,0.342406417,ok,female,ad,121.26,0.76524617,0.665279421,0.192721377,0.231596893,171.0330063,83.21460245,98.60179528,147.8458595
45,RWS 09,2021/06/18,2,0.0548,1.5,1.612062044,0.475209854,0.156104015,0.519333942,ok,female,ad,121.26,0.76524617,0.665279421,0.192721377,0.231596893,210.6592764,71.43011474,80.99984378,224.2404613
55,RWS 09,2021/06/18,3,0.052,1.5,2.155355769,0.461480769,0.174230769,0.813634615,ok,female,ad,121.26,0.76524617,0.665279421,0.192721377,0.231596893,281.6552183,69.36645783,90.40552305,351.3149958
65,RWS 09,2021/06/18,4,0.0514,1.5,0.073229572,0.299066148,0.075087549,0.033385214,ok,female,ad,121.26,0.76524617,0.665279421,0.192721377,0.231596893,9.569413725,44.9534644,38.96171233,14.41522533
