Lab.no,Tube.no,Bird.ID,Date,time.lag,faecal.mass,ethanol.vol,Safest,Lab swap,Tube swap,fgcm-2,safe.fgcm,lab.fgcm,tube.fgcm,mass,age,sex
1,1,RWS 01,44363,-2,0.0514,1.5,0.023871595,0.023871595,0.023871595,0.136960007,17.42961013,17.42961013,17.42961013,132.4,adult,male
39,41,RWS 01,44363,2,0.0458,1.5,0.451441048,0.451441048,0.451441048,0.136960007,329.6152333,329.6152333,329.6152333,132.4,adult,male
12,12,RWS 02,44363,-1,0.0175,0.5,0.153628571,0.153628571,0.153628571,0.136960007,112.1703878,112.1703878,112.1703878,143.65,adult,male
22,22,RWS 02,44363,0,0.0117,0.5,0.210897436,0.210897436,0.210897436,0.136960007,153.9846849,153.9846849,153.9846849,143.65,adult,male
40,42,RWS 02,44363,2,0.0549,1.5,0.674016393,0.674016393,0.674016393,0.136960007,492.1264288,492.1264288,492.1264288,143.65,adult,male
48,52,RWS 02,44363,3,0.023,1,,0.188541667,0.073408019,0.136960007,,137.6618403,53.59814171,143.65,adult,male
3,3,RWS 03,44363,-2,0.0319,1,0.059805195,0.059805195,0.059805195,0.136960007,43.66617375,43.66617375,43.66617375,160.59,adult,male
13,13,RWS 03,44363,-1,0.0295,1,0.31803,0.31803,0.31803,0.136960007,232.2064711,232.2064711,232.2064711,160.59,adult,male
23,23,RWS 03,44363,0,0.0495,1.5,0.128030303,0.128030303,0.128030303,0.136960007,93.48006432,93.48006432,93.48006432,160.59,adult,male
32,33,RWS 03,44363,1,0.0339,1.5,1.096769912,1.096769912,1.096769912,0.136960007,800.7957448,800.7957448,800.7957448,160.59,adult,male
41,43,RWS 03,44363,2,0.0383,1,0.579791123,0.579791123,0.579791123,0.136960007,423.3287758,423.3287758,423.3287758,160.59,adult,male
49,53,RWS 03,44363,3,0.0469,1.5,0.405863539,0.405863539,0.405863539,0.136960007,296.3372645,296.3372645,296.3372645,160.59,adult,male
59,63,RWS 03,44363,4,0.0185,1.5,0.543,0.543,0.543,0.136960007,396.4661,396.4661,396.4661,160.59,adult,male
4,4,RWS 04,44364,-2,0.0536,1.5,0.099710821,0.099710821,0.099710821,0.136960007,72.80287346,72.80287346,72.80287346,127.04,adult,female
14,14,RWS 04,44364,-1,0.0509,1.5,0.122328094,0.122328094,0.122328094,0.136960007,89.3166528,89.3166528,89.3166528,127.04,adult,female
24,24,RWS 04,44364,0,0.0534,1.5,0.189101124,0.189101124,0.189101124,0.136960007,138.0703222,138.0703222,138.0703222,127.04,adult,female
50,54,RWS 04,44364,3,0.0546,1.5,1.093626374,1.093626374,1.093626374,0.136960007,798.5005216,798.5005216,798.5005216,127.04,adult,female
60,64,RWS 04,44364,4,0.0419,1.5,0.850381862,0.850381862,0.850381862,0.136960007,620.8979377,620.8979377,620.8979377,127.04,adult,female
5,5,RWS 05,44364,-2,0.0414,1.5,0.025824275,0.025824275,0.025824275,0.136960007,18.85534022,18.85534022,18.85534022,140.26,imm,male
15,15,RWS 05,44364,-1,0.0541,1.5,0.158456562,0.158456562,0.158456562,0.136960007,115.6954975,115.6954975,115.6954975,140.26,imm,male
25,25,RWS 05,44364,0,0.0536,1.5,0.396380597,0.396380597,0.396380597,0.136960007,289.4133875,289.4133875,289.4133875,140.26,imm,male
51,55,RWS 05,44364,3,0.0532,1.5,0.499201128,0.499201128,0.499201128,0.136960007,364.486785,364.486785,364.486785,140.26,imm,male
61,65,RWS 05,44364,4,0.0376,1.5,0.725465426,0.725465426,0.725465426,0.136960007,529.6914327,529.6914327,529.6914327,140.26,imm,male
6,6,RWS 06,44364,-2,0.0531,1.5,0.200621469,0.200621469,0.200621469,0.136960007,146.4817889,146.4817889,146.4817889,129.88,adult,female
16,16,RWS 06,44364,-1,0.0335,1,0.193283582,0.193283582,0.193283582,0.136960007,141.1241031,141.1241031,141.1241031,129.88,adult,female
26,26,RWS 06,44364,0,0.052,1.5,0.229846154,0.229846154,0.229846154,0.136960007,167.8199046,167.8199046,167.8199046,129.88,adult,female
7,7,RWS 07,44364,-2,0.0513,1.5,0.086023392,0.086023392,0.086023392,0.136960007,62.80913198,62.80913198,62.80913198,144.08,adult,male
27,27,RWS 07,44364,0,0.0227,1,0.129207048,0.129207048,0.129207048,0.136960007,94.3392534,94.3392534,94.3392534,144.08,adult,male
35,37,RWS 07,44364,1,0.0547,1.5,0.342175503,0.342175503,0.342175503,0.136960007,249.836072,249.836072,249.836072,144.08,adult,male
8,8,RWS 08,44365,-2,0.0502,1.5,0.030567729,0.030567729,0.030567729,0.136960007,22.31872622,22.31872622,22.31872622,109.87,adult,female
18,18,RWS 08,44365,-1,0.0315,1,1.479365079,1.479365079,1.479365079,0.136960007,1080.143837,1080.143837,1080.143837,109.87,adult,female
36,38,RWS 08,44365,1,0.0512,1.5,0.217060547,0.217060547,0.217060547,0.136960007,158.4846197,158.4846197,158.4846197,109.87,adult,female
64,68,RWS 08,44365,4,0.0399,1,,0.062075472,0.047592937,0.136960007,,45.32379405,34.74951389,109.87,adult,female
9,9,RWS 09,44365,-2,0.0403,1.5,0.569255583,0.569255583,0.569255583,0.136960007,415.6363554,415.6363554,415.6363554,121.26,adult,female
19,19,RWS 09,44365,-1,0.0507,1.5,0.376627219,0.376627219,0.376627219,0.136960007,274.9906531,274.9906531,274.9906531,121.26,adult,female
29,29,RWS 09,44365,0,0.0187,0.5,0.342406417,0.342406417,0.342406417,0.136960007,250.0046719,250.0046719,250.0046719,121.26,adult,female
45,49,RWS 09,44365,2,0.0548,1.5,0.519333942,0.519333942,0.519333942,0.136960007,379.1865607,379.1865607,379.1865607,121.26,adult,female
55,59,RWS 09,44365,3,0.052,1.5,0.813634615,0.813634615,0.813634615,0.136960007,594.067298,594.067298,594.067298,121.26,adult,female
30,30,RWS 10,44365,0,0.0522,1.5,0.019186691,0.019186691,0.019186691,0.136960007,14.00897362,14.00897362,14.00897362,132.16,adult,male
38,40,RWS 10,44365,1,0.0333,1,0.923603604,0.923603604,0.923603604,0.136960007,674.3600712,674.3600712,674.3600712,132.16,adult,male
